section,metric,value
scenario,requests,49
scenario,attempts,737
scenario,stereo_pairs,129
scenario,avg_angle,20.634536
scenario,avg_area,422.574097
scenario,avg_price,993.132972
scenario,avg_sun_elevation,53.085521
scenario,avg_cloud_cover,17.040683
scenario,avg_priority,2.705563
scenario_raw,requests,49
scenario_raw,attempts,844
scenario_raw,avg_angle,20.347921
scenario_raw,avg_area,432.676321
scenario_raw,avg_price,979.106635
scenario_raw,avg_sun_elevation,54.282600
scenario_raw,avg_cloud_cover,17.145806
scenario_raw,avg_priority,2.687204
solution,acquisitions,65
solution,unique_requests_served,48
solution,total_score,35.7973933649289222
solution,ofv,-35.7973933649289506
solution,total_profit,61017.000000
solution,total_area,31507.821736
solution,avg_cloud_cover,16.463212
solution,cloud_good_lt10,11
solution,cloud_bad_gt30,0
solution,avg_angle,22.708337
solution,angle_good_le10,3
solution,angle_bad_ge30,4
solution,avg_priority,2.738462
solution,priority_1,13
solution,priority_2,16
solution,priority_3,11
solution,priority_4,25
solution,avg_sun_elevation,52.820861
rko,best_mh,BRKGA
rko,time_to_best,4.831
rko,solver_time,60.009
rko,total_time,60.011
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,10
rko,stereo_acq_selected,19
rko,strip_acq_selected,14
