section,metric,value
scenario,requests,722
scenario,attempts,11353
scenario,stereo_pairs,1947
scenario,avg_angle,21.331147
scenario,avg_area,483.964664
scenario,avg_price,984.745706
scenario,avg_sun_elevation,60.289767
scenario,avg_cloud_cover,25.961364
scenario,avg_priority,2.459614
scenario_raw,requests,722
scenario_raw,attempts,14139
scenario_raw,avg_angle,20.795226
scenario_raw,avg_area,493.262365
scenario_raw,avg_price,990.681024
scenario_raw,avg_sun_elevation,60.028458
scenario_raw,avg_cloud_cover,26.230300
scenario_raw,avg_priority,2.533772
solution,acquisitions,709
solution,unique_requests_served,541
solution,total_score,399.3774665817965683
solution,ofv,-399.3774665817969094
solution,total_profit,693475.000000
solution,total_area,390873.542685
solution,avg_cloud_cover,25.811231
solution,cloud_good_lt10,2
solution,cloud_bad_gt30,174
solution,avg_angle,21.822805
solution,angle_good_le10,62
solution,angle_bad_ge30,32
solution,avg_priority,2.445698
solution,priority_1,194
solution,priority_2,172
solution,priority_3,176
solution,priority_4,167
solution,avg_sun_elevation,60.084449
rko,best_mh,BRKGA-CS
rko,time_to_best,900.059
rko,solver_time,957.481
rko,total_time,957.510
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,47
rko,stereo_acq_selected,95
rko,strip_acq_selected,248
