section,metric,value
scenario,requests,72
scenario,attempts,718
scenario,stereo_pairs,46
scenario,avg_angle,20.256945
scenario,avg_area,576.382663
scenario,avg_price,1061.318942
scenario,avg_sun_elevation,59.706329
scenario,avg_cloud_cover,16.615529
scenario,avg_priority,2.442897
scenario_raw,requests,72
scenario_raw,attempts,746
scenario_raw,avg_angle,19.992209
scenario_raw,avg_area,580.010641
scenario_raw,avg_price,1060.953083
scenario_raw,avg_sun_elevation,59.733205
scenario_raw,avg_cloud_cover,16.617649
scenario_raw,avg_priority,2.447721
solution,acquisitions,100
solution,unique_requests_served,71
solution,total_score,56.3646112600536071
solution,ofv,-56.3646112600537208
solution,total_profit,107187.000000
solution,total_area,65312.892273
solution,avg_cloud_cover,16.677872
solution,cloud_good_lt10,17
solution,cloud_bad_gt30,1
solution,avg_angle,21.355788
solution,angle_good_le10,9
solution,angle_bad_ge30,3
solution,avg_priority,2.480000
solution,priority_1,24
solution,priority_2,25
solution,priority_3,30
solution,priority_4,21
solution,avg_sun_elevation,58.769622
rko,best_mh,BRKGA
rko,time_to_best,39.172
rko,solver_time,60.011
rko,total_time,60.012
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,6
rko,stereo_acq_selected,14
rko,strip_acq_selected,45
