section,metric,value
scenario,requests,206
scenario,attempts,2629
scenario,stereo_pairs,334
scenario,avg_angle,20.716612
scenario,avg_area,500.907060
scenario,avg_price,1005.261316
scenario,avg_sun_elevation,54.849897
scenario,avg_cloud_cover,1.773710
scenario,avg_priority,2.426017
scenario_raw,requests,206
scenario_raw,attempts,3009
scenario_raw,avg_angle,20.313773
scenario_raw,avg_area,504.762580
scenario_raw,avg_price,1006.956796
scenario_raw,avg_sun_elevation,55.144468
scenario_raw,avg_cloud_cover,1.737630
scenario_raw,avg_priority,2.416750
solution,acquisitions,258
solution,unique_requests_served,192
solution,total_score,145.7510800930543269
solution,ofv,-145.7510800930548385
solution,total_profit,257865.000000
solution,total_area,147170.449150
solution,avg_cloud_cover,1.860709
solution,cloud_good_lt10,258
solution,cloud_bad_gt30,0
solution,avg_angle,21.753294
solution,angle_good_le10,27
solution,angle_bad_ge30,14
solution,avg_priority,2.410853
solution,priority_1,76
solution,priority_2,55
solution,priority_3,72
solution,priority_4,55
solution,avg_sun_elevation,54.482391
rko,best_mh,BRKGA
rko,time_to_best,192.121
rko,solver_time,300.844
rko,total_time,300.850
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,18
rko,stereo_acq_selected,38
rko,strip_acq_selected,95
