section,metric,value
scenario,requests,98
scenario,attempts,933
scenario,stereo_pairs,49
scenario,avg_angle,21.331051
scenario,avg_area,469.820956
scenario,avg_price,1040.484459
scenario,avg_sun_elevation,53.423969
scenario,avg_cloud_cover,15.772677
scenario,avg_priority,2.556270
scenario_raw,requests,98
scenario_raw,attempts,961
scenario_raw,avg_angle,21.073806
scenario_raw,avg_area,475.001501
scenario_raw,avg_price,1043.860562
scenario_raw,avg_sun_elevation,53.413705
scenario_raw,avg_cloud_cover,15.869205
scenario_raw,avg_priority,2.544225
solution,acquisitions,116
solution,unique_requests_served,87
solution,total_score,63.2882414151924308
solution,ofv,-63.2882414151924877
solution,total_profit,118289.000000
solution,total_area,66601.928727
solution,avg_cloud_cover,15.773480
solution,cloud_good_lt10,18
solution,cloud_bad_gt30,0
solution,avg_angle,22.918390
solution,angle_good_le10,7
solution,angle_bad_ge30,5
solution,avg_priority,2.491379
solution,priority_1,32
solution,priority_2,27
solution,priority_3,25
solution,priority_4,32
solution,avg_sun_elevation,53.963016
rko,best_mh,BRKGA
rko,time_to_best,300.399
rko,solver_time,500.122
rko,total_time,500.127
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,6
rko,stereo_acq_selected,14
rko,strip_acq_selected,46
