section,metric,value
scenario,requests,716
scenario,attempts,8733
scenario,stereo_pairs,959
scenario,avg_angle,21.540642
scenario,avg_area,481.393095
scenario,avg_price,989.482308
scenario,avg_sun_elevation,59.265760
scenario,avg_cloud_cover,25.887284
scenario,avg_priority,2.461468
scenario_raw,requests,716
scenario_raw,attempts,9782
scenario_raw,avg_angle,21.269127
scenario_raw,avg_area,482.093659
scenario_raw,avg_price,995.567164
scenario_raw,avg_sun_elevation,58.969985
scenario_raw,avg_cloud_cover,25.886809
scenario_raw,avg_priority,2.502249
solution,acquisitions,692
solution,unique_requests_served,525
solution,total_score,390.1178695563268093
solution,ofv,-390.1178695563277756
solution,total_profit,674121.000000
solution,total_area,387900.440183
solution,avg_cloud_cover,25.787050
solution,cloud_good_lt10,2
solution,cloud_bad_gt30,174
solution,avg_angle,21.807101
solution,angle_good_le10,53
solution,angle_bad_ge30,30
solution,avg_priority,2.459538
solution,priority_1,183
solution,priority_2,171
solution,priority_3,175
solution,priority_4,163
solution,avg_sun_elevation,58.611331
rko,best_mh,ILS
rko,time_to_best,900.062
rko,solver_time,924.861
rko,total_time,924.884
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,48
rko,stereo_acq_selected,97
rko,strip_acq_selected,247
