section,metric,value
scenario,requests,722
scenario,attempts,11353
scenario,stereo_pairs,1947
scenario,avg_angle,21.331147
scenario,avg_area,483.964664
scenario,avg_price,984.745706
scenario,avg_sun_elevation,60.289767
scenario,avg_cloud_cover,25.961364
scenario,avg_priority,2.459614
scenario_raw,requests,722
scenario_raw,attempts,14139
scenario_raw,avg_angle,20.795226
scenario_raw,avg_area,493.262365
scenario_raw,avg_price,990.681024
scenario_raw,avg_sun_elevation,60.028458
scenario_raw,avg_cloud_cover,26.230300
scenario_raw,avg_priority,2.533772
solution,acquisitions,714
solution,unique_requests_served,541
solution,total_score,398.6104392106955174
solution,ofv,-398.6104392106956880
solution,total_profit,700046.000000
solution,total_area,396800.308979
solution,avg_cloud_cover,25.844844
solution,cloud_good_lt10,8
solution,cloud_bad_gt30,184
solution,avg_angle,21.874286
solution,angle_good_le10,58
solution,angle_bad_ge30,37
solution,avg_priority,2.445378
solution,priority_1,193
solution,priority_2,176
solution,priority_3,179
solution,priority_4,166
solution,avg_sun_elevation,60.017371
rko,best_mh,BRKGA-CS
rko,time_to_best,900.130
rko,solver_time,976.867
rko,total_time,976.895
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,50
rko,stereo_acq_selected,102
rko,strip_acq_selected,247
