section,metric,value
scenario,requests,49
scenario,attempts,737
scenario,stereo_pairs,129
scenario,avg_angle,20.634536
scenario,avg_area,422.574097
scenario,avg_price,993.132972
scenario,avg_sun_elevation,53.085521
scenario,avg_cloud_cover,17.040683
scenario,avg_priority,2.705563
scenario_raw,requests,49
scenario_raw,attempts,844
scenario_raw,avg_angle,20.347921
scenario_raw,avg_area,432.676321
scenario_raw,avg_price,979.106635
scenario_raw,avg_sun_elevation,54.282600
scenario_raw,avg_cloud_cover,17.145806
scenario_raw,avg_priority,2.687204
solution,acquisitions,65
solution,unique_requests_served,49
solution,total_score,35.2002369668246473
solution,ofv,-35.2002369668246899
solution,total_profit,61633.000000
solution,total_area,31752.219971
solution,avg_cloud_cover,17.429516
solution,cloud_good_lt10,8
solution,cloud_bad_gt30,0
solution,avg_angle,22.096534
solution,angle_good_le10,5
solution,angle_bad_ge30,2
solution,avg_priority,2.738462
solution,priority_1,13
solution,priority_2,16
solution,priority_3,11
solution,priority_4,25
solution,avg_sun_elevation,52.805430
rko,best_mh,GA
rko,time_to_best,31.565
rko,solver_time,60.006
rko,total_time,60.008
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,9
rko,stereo_acq_selected,18
rko,strip_acq_selected,14
