section,metric,value
scenario,requests,358
scenario,attempts,4307
scenario,stereo_pairs,537
scenario,avg_angle,21.604123
scenario,avg_area,490.172976
scenario,avg_price,988.758300
scenario,avg_sun_elevation,59.909668
scenario,avg_cloud_cover,25.495873
scenario,avg_priority,2.522870
scenario_raw,requests,358
scenario_raw,attempts,4940
scenario_raw,avg_angle,21.186381
scenario_raw,avg_area,490.132265
scenario_raw,avg_price,966.358502
scenario_raw,avg_sun_elevation,59.796813
scenario_raw,avg_cloud_cover,25.332705
scenario_raw,avg_priority,2.557085
solution,acquisitions,391
solution,unique_requests_served,288
solution,total_score,208.3228744939275430
solution,ofv,-208.3228744939287083
solution,total_profit,387594.000000
solution,total_area,213944.880695
solution,avg_cloud_cover,25.770232
solution,cloud_good_lt10,4
solution,cloud_bad_gt30,105
solution,avg_angle,22.295452
solution,angle_good_le10,33
solution,angle_bad_ge30,18
solution,avg_priority,2.549872
solution,priority_1,99
solution,priority_2,94
solution,priority_3,82
solution,priority_4,116
solution,avg_sun_elevation,60.233571
rko,best_mh,BRKGA
rko,time_to_best,593.367
rko,solver_time,602.930
rko,total_time,602.940
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,32
rko,stereo_acq_selected,63
rko,strip_acq_selected,142
