section,metric,value
scenario,requests,21
scenario,attempts,214
scenario,stereo_pairs,24
scenario,avg_angle,19.804020
scenario,avg_area,629.487072
scenario,avg_price,1137.929907
scenario,avg_sun_elevation,52.853782
scenario,avg_cloud_cover,17.634063
scenario,avg_priority,2.640187
scenario_raw,requests,21
scenario_raw,attempts,229
scenario_raw,avg_angle,19.338584
scenario_raw,avg_area,630.908591
scenario_raw,avg_price,1137.135371
scenario_raw,avg_sun_elevation,53.317395
scenario_raw,avg_cloud_cover,17.304185
scenario_raw,avg_priority,2.703057
solution,acquisitions,33
solution,unique_requests_served,21
solution,total_score,18.2663755458515240
solution,ofv,-18.2663755458515453
solution,total_profit,36944.000000
solution,total_area,23059.151012
solution,avg_cloud_cover,17.289537
solution,cloud_good_lt10,3
solution,cloud_bad_gt30,0
solution,avg_angle,20.717683
solution,angle_good_le10,4
solution,angle_bad_ge30,4
solution,avg_priority,2.757576
solution,priority_1,8
solution,priority_2,3
solution,priority_3,11
solution,priority_4,11
solution,avg_sun_elevation,51.537907
rko,best_mh,BRKGA
rko,time_to_best,0.938
rko,solver_time,60.004
rko,total_time,60.004
rko,pool_diversity,6
rko,pool_size,10
rko,stereo_pairs_complete,3
rko,stereo_acq_selected,6
rko,strip_acq_selected,18
