section,metric,value
scenario,requests,86
scenario,attempts,832
scenario,stereo_pairs,48
scenario,avg_angle,21.147806
scenario,avg_area,472.014175
scenario,avg_price,1052.465144
scenario,avg_sun_elevation,53.175434
scenario,avg_cloud_cover,15.991433
scenario,avg_priority,2.518029
scenario_raw,requests,86
scenario_raw,attempts,860
scenario_raw,avg_angle,20.866316
scenario_raw,avg_area,477.731725
scenario_raw,avg_price,1055.847674
scenario_raw,avg_sun_elevation,53.172056
scenario_raw,avg_cloud_cover,15.974726
scenario_raw,avg_priority,2.505814
solution,acquisitions,101
solution,unique_requests_served,75
solution,total_score,55.0418604651163008
solution,ofv,-55.0418604651163577
solution,total_profit,104418.000000
solution,total_area,58233.893313
solution,avg_cloud_cover,16.091927
solution,cloud_good_lt10,11
solution,cloud_bad_gt30,0
solution,avg_angle,22.693880
solution,angle_good_le10,4
solution,angle_bad_ge30,5
solution,avg_priority,2.445545
solution,priority_1,27
solution,priority_2,26
solution,priority_3,24
solution,priority_4,24
solution,avg_sun_elevation,53.747596
rko,best_mh,PSO
rko,time_to_best,355.202
rko,solver_time,500.119
rko,total_time,500.123
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,6
rko,stereo_acq_selected,12
rko,strip_acq_selected,42
