section,metric,value
scenario,requests,90
scenario,attempts,1404
scenario,stereo_pairs,141
scenario,avg_angle,20.831959
scenario,avg_area,563.423680
scenario,avg_price,1065.049145
scenario,avg_sun_elevation,58.116553
scenario,avg_cloud_cover,16.228515
scenario,avg_priority,2.390313
scenario_raw,requests,90
scenario_raw,attempts,1564
scenario_raw,avg_angle,20.421959
scenario_raw,avg_area,583.689551
scenario_raw,avg_price,1069.888747
scenario_raw,avg_sun_elevation,58.181742
scenario_raw,avg_cloud_cover,16.421411
scenario_raw,avg_priority,2.303708
solution,acquisitions,125
solution,unique_requests_served,90
solution,total_score,67.9354219948848339
solution,ofv,-67.9354219948850186
solution,total_profit,133388.000000
solution,total_area,77676.710557
solution,avg_cloud_cover,16.593117
solution,cloud_good_lt10,19
solution,cloud_bad_gt30,1
solution,avg_angle,21.857431
solution,angle_good_le10,5
solution,angle_bad_ge30,3
solution,avg_priority,2.576000
solution,priority_1,27
solution,priority_2,31
solution,priority_3,35
solution,priority_4,32
solution,avg_sun_elevation,57.623261
rko,best_mh,BRKGA
rko,time_to_best,106.950
rko,solver_time,150.024
rko,total_time,150.028
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,8
rko,stereo_acq_selected,17
rko,strip_acq_selected,52
