section,metric,value
scenario,requests,116
scenario,attempts,1750
scenario,stereo_pairs,280
scenario,avg_angle,20.782907
scenario,avg_area,514.432616
scenario,avg_price,983.448000
scenario,avg_sun_elevation,51.978902
scenario,avg_cloud_cover,7.790484
scenario,avg_priority,2.412000
scenario_raw,requests,116
scenario_raw,attempts,2100
scenario_raw,avg_angle,20.326124
scenario_raw,avg_area,515.954074
scenario_raw,avg_price,987.704762
scenario_raw,avg_sun_elevation,52.816756
scenario_raw,avg_cloud_cover,8.160615
scenario_raw,avg_priority,2.404762
solution,acquisitions,158
solution,unique_requests_served,116
solution,total_score,90.4871428571429419
solution,ofv,-90.4871428571431551
solution,total_profit,152782.000000
solution,total_area,90125.532453
solution,avg_cloud_cover,7.690185
solution,cloud_good_lt10,105
solution,cloud_bad_gt30,0
solution,avg_angle,22.642894
solution,angle_good_le10,10
solution,angle_bad_ge30,9
solution,avg_priority,2.481013
solution,priority_1,43
solution,priority_2,34
solution,priority_3,43
solution,priority_4,38
solution,avg_sun_elevation,50.935776
rko,best_mh,BRKGA
rko,time_to_best,60.486
rko,solver_time,150.031
rko,total_time,150.035
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,13
rko,stereo_acq_selected,27
rko,strip_acq_selected,56
