section,metric,value
scenario,requests,358
scenario,attempts,4307
scenario,stereo_pairs,537
scenario,avg_angle,21.604123
scenario,avg_area,490.172976
scenario,avg_price,988.758300
scenario,avg_sun_elevation,59.909668
scenario,avg_cloud_cover,25.495873
scenario,avg_priority,2.522870
scenario_raw,requests,358
scenario_raw,attempts,4940
scenario_raw,avg_angle,21.186381
scenario_raw,avg_area,490.132265
scenario_raw,avg_price,966.358502
scenario_raw,avg_sun_elevation,59.796813
scenario_raw,avg_cloud_cover,25.332705
scenario_raw,avg_priority,2.557085
solution,acquisitions,388
solution,unique_requests_served,287
solution,total_score,205.3775303643728023
solution,ofv,-205.3775303643739107
solution,total_profit,384208.000000
solution,total_area,213261.119294
solution,avg_cloud_cover,25.595233
solution,cloud_good_lt10,3
solution,cloud_bad_gt30,95
solution,avg_angle,21.782479
solution,angle_good_le10,32
solution,angle_bad_ge30,17
solution,avg_priority,2.548969
solution,priority_1,99
solution,priority_2,92
solution,priority_3,82
solution,priority_4,115
solution,avg_sun_elevation,60.269175
rko,best_mh,BRKGA
rko,time_to_best,586.360
rko,solver_time,602.190
rko,total_time,602.201
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,28
rko,stereo_acq_selected,60
rko,strip_acq_selected,142
