section,metric,value
scenario,requests,20
scenario,attempts,189
scenario,stereo_pairs,11
scenario,avg_angle,21.840569
scenario,avg_area,358.073073
scenario,avg_price,1055.195767
scenario,avg_sun_elevation,53.397399
scenario,avg_cloud_cover,1.155936
scenario,avg_priority,2.333333
scenario_raw,requests,20
scenario_raw,attempts,195
scenario_raw,avg_angle,21.477309
scenario_raw,avg_area,372.305701
scenario_raw,avg_price,1051.035897
scenario_raw,avg_sun_elevation,53.232657
scenario_raw,avg_cloud_cover,1.130736
scenario_raw,avg_priority,2.292308
solution,acquisitions,22
solution,unique_requests_served,20
solution,total_score,12.6564102564102559
solution,ofv,-12.6564102564102612
solution,total_profit,23906.000000
solution,total_area,9156.151600
solution,avg_cloud_cover,0.884554
solution,cloud_good_lt10,22
solution,cloud_bad_gt30,0
solution,avg_angle,21.072084
solution,angle_good_le10,4
solution,angle_bad_ge30,0
solution,avg_priority,2.227273
solution,priority_1,7
solution,priority_2,6
solution,priority_3,6
solution,priority_4,3
solution,avg_sun_elevation,53.664867
rko,best_mh,BRKGA-CS
rko,time_to_best,4.895
rko,solver_time,151.565
rko,total_time,151.566
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,2
rko,stereo_acq_selected,4
rko,strip_acq_selected,0
