section,metric,value
scenario,requests,361
scenario,attempts,5546
scenario,stereo_pairs,1040
scenario,avg_angle,21.415514
scenario,avg_area,485.862823
scenario,avg_price,986.435629
scenario,avg_sun_elevation,61.179499
scenario,avg_cloud_cover,25.842010
scenario,avg_priority,2.497836
scenario_raw,requests,361
scenario_raw,attempts,7052
scenario_raw,avg_angle,20.821442
scenario_raw,avg_area,487.756205
scenario_raw,avg_price,971.084090
scenario_raw,avg_sun_elevation,61.443177
scenario_raw,avg_cloud_cover,25.970729
scenario_raw,avg_priority,2.512621
solution,acquisitions,392
solution,unique_requests_served,291
solution,total_score,201.4306579693703725
solution,ofv,-201.4306579693714241
solution,total_profit,388129.000000
solution,total_area,214623.967903
solution,avg_cloud_cover,26.077236
solution,cloud_good_lt10,1
solution,cloud_bad_gt30,108
solution,avg_angle,21.858269
solution,angle_good_le10,33
solution,angle_bad_ge30,21
solution,avg_priority,2.543367
solution,priority_1,100
solution,priority_2,94
solution,priority_3,83
solution,priority_4,115
solution,avg_sun_elevation,61.564099
rko,best_mh,BRKGA
rko,time_to_best,548.259
rko,solver_time,607.408
rko,total_time,607.421
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,29
rko,stereo_acq_selected,60
rko,strip_acq_selected,143
