section,metric,value
scenario,requests,529
scenario,attempts,4574
scenario,stereo_pairs,324
scenario,avg_angle,23.053163
scenario,avg_area,499.480985
scenario,avg_price,994.888719
scenario,avg_sun_elevation,59.262684
scenario,avg_cloud_cover,25.857166
scenario,avg_priority,2.421513
scenario_raw,requests,529
scenario_raw,attempts,4745
scenario_raw,avg_angle,22.746012
scenario_raw,avg_area,499.291544
scenario_raw,avg_price,993.774710
scenario_raw,avg_sun_elevation,59.202408
scenario_raw,avg_cloud_cover,25.842011
scenario_raw,avg_priority,2.427397
solution,acquisitions,299
solution,unique_requests_served,223
solution,total_score,180.1997892518440381
solution,ofv,-180.1997892518450328
solution,total_profit,288188.000000
solution,total_area,164985.639930
solution,avg_cloud_cover,25.490692
solution,cloud_good_lt10,3
solution,cloud_bad_gt30,68
solution,avg_angle,22.194332
solution,angle_good_le10,24
solution,angle_bad_ge30,13
solution,avg_priority,2.481605
solution,priority_1,77
solution,priority_2,70
solution,priority_3,83
solution,priority_4,69
solution,avg_sun_elevation,54.175209
rko,best_mh,BRKGA
rko,time_to_best,1173.414
rko,solver_time,1203.566
rko,total_time,1203.578
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,27
rko,stereo_acq_selected,57
rko,strip_acq_selected,102
