section,metric,value
scenario,requests,42
scenario,attempts,407
scenario,stereo_pairs,30
scenario,avg_angle,21.554531
scenario,avg_area,531.616213
scenario,avg_price,1028.447174
scenario,avg_sun_elevation,52.234704
scenario,avg_cloud_cover,18.466929
scenario,avg_priority,2.746929
scenario_raw,requests,42
scenario_raw,attempts,425
scenario_raw,avg_angle,21.339849
scenario_raw,avg_area,523.728962
scenario_raw,avg_price,1019.272941
scenario_raw,avg_sun_elevation,52.277443
scenario_raw,avg_cloud_cover,18.337196
scenario_raw,avg_priority,2.769412
solution,acquisitions,55
solution,unique_requests_served,40
solution,total_score,29.1411764705882348
solution,ofv,-29.1411764705882632
solution,total_profit,56004.000000
solution,total_area,32167.429352
solution,avg_cloud_cover,19.750380
solution,cloud_good_lt10,1
solution,cloud_bad_gt30,1
solution,avg_angle,24.240472
solution,angle_good_le10,1
solution,angle_bad_ge30,2
solution,avg_priority,2.872727
solution,priority_1,10
solution,priority_2,10
solution,priority_3,12
solution,priority_4,23
solution,avg_sun_elevation,53.251401
rko,best_mh,GA
rko,time_to_best,122.629
rko,solver_time,150.029
rko,total_time,150.031
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,4
rko,stereo_acq_selected,8
rko,strip_acq_selected,23
