section,metric,value
scenario,requests,127
scenario,attempts,1105
scenario,stereo_pairs,78
scenario,avg_angle,23.167788
scenario,avg_area,513.434568
scenario,avg_price,1000.332127
scenario,avg_sun_elevation,57.811026
scenario,avg_cloud_cover,25.770034
scenario,avg_priority,2.422624
scenario_raw,requests,127
scenario_raw,attempts,1142
scenario_raw,avg_angle,22.955345
scenario_raw,avg_area,520.319894
scenario_raw,avg_price,1000.941331
scenario_raw,avg_sun_elevation,57.757468
scenario_raw,avg_cloud_cover,25.764061
scenario_raw,avg_priority,2.422067
solution,acquisitions,94
solution,unique_requests_served,76
solution,total_score,57.3476357267951116
solution,ofv,-57.3476357267952110
solution,total_profit,94463.000000
solution,total_area,52136.293384
solution,avg_cloud_cover,26.001732
solution,cloud_good_lt10,1
solution,cloud_bad_gt30,25
solution,avg_angle,22.808529
solution,angle_good_le10,6
solution,angle_bad_ge30,4
solution,avg_priority,2.308511
solution,priority_1,24
solution,priority_2,27
solution,priority_3,33
solution,priority_4,10
solution,avg_sun_elevation,54.406340
rko,best_mh,BRKGA
rko,time_to_best,140.729
rko,solver_time,600.143
rko,total_time,600.149
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,5
rko,stereo_acq_selected,10
rko,strip_acq_selected,29
