index,ID,stereo,satellite,satellite location,request location,time,area,strips,duration,distance,angle,sun elevation,cloud cover estimate,priority,priority mod,customer type mod,price,waiting time,uncertainty,cloud cover real,score_scenario,score_method,score_alpha
0,0330,0,0,"[61.105016994333454, 18.98942170406368]","[np.float64(59.21917227616074), np.float64(24.95195592026564)]",2026-04-23 09:41:30,298.90827485616944,1,4.070197798790376,390.66347192144195,29.37584192097257,42.884589213448585,32.85891554890875,1,1,1,1430,2,0.0010416666666666667,32.85370721557541,0.09003751563151313,ELECTRE-III,1
1,0330,0,0,"[60.522852650616585, 18.584400024018386]","[np.float64(59.21917227616074), np.float64(24.95195592026564)]",2026-04-23 09:41:40,298.90827485616944,1,4.070197798790376,383.6302488527172,28.932998556184554,42.88918251566542,30.858915548908747,1,1,1,1430,2,0.0011574074074074073,30.855443326686526,0.09003751563151313,ELECTRE-III,1
2,0330,0,0,"[59.93974574079426, 18.192222514707304]","[np.float64(59.21917227616074), np.float64(24.95195592026564)]",2026-04-23 09:41:50,298.90827485616944,1,4.070197798790376,388.7504180893421,29.255765558709513,42.89375532731474,28.858915548908747,1,1,1,1430,2,0.0012731481481481483,28.87037388224208,0.09003751563151313,ELECTRE-III,1
3,0330,0,0,"[59.35573724600149, 17.812173713814868]","[np.float64(59.21917227616074), np.float64(24.95195592026564)]",2026-04-23 09:42:00,298.90827485616944,1,4.070197798790376,405.5634253137077,30.301388957647106,42.89830764839655,28.858915548908747,1,1,1,1430,2,0.001388888888888889,28.85335999335319,0.09003751563151313,ELECTRE-III,1
4,0016,1,0,"[58.18526138831474, 17.085825784266323]","[np.float64(55.55205209359613), np.float64(12.98404244187165)]",2026-04-23 09:42:20,315.183271610409,1,5.529079639727169,384.40637723269685,28.982054517755405,44.05780739208709,26.23713471697721,4,4,3,561,7,0.0016203703703703703,26.24037545771795,0.44476865360566903,ELECTRE-III,1
5,0016,1,0,"[57.59886915750164, 16.738326249863587]","[np.float64(55.55205209359613), np.float64(12.98404244187165)]",2026-04-23 09:42:30,315.183271610409,1,5.529079639727169,323.45050305798617,24.98867334916291,44.06930260046022,21.23713471697721,4,4,3,561,7,0.001736111111111111,21.22498193919943,0.44476865360566903,ELECTRE-III,1
6,0178,0,0,"[57.59886915750164, 16.738326249863587]","[np.float64(55.64321798038925), np.float64(12.16354832122793)]",2026-04-23 09:42:30,474.8222059876249,1,3.0877486831315393,354.29670169842973,27.044946977702295,43.76128838964932,31.73529519236666,2,2,2,748,4,0.001736111111111111,31.74918408125555,0.23634847853272198,ELECTRE-III,1
7,0016,1,0,"[57.011773417204026, 16.400544367102484]","[np.float64(55.55205209359613), np.float64(12.98404244187165)]",2026-04-23 09:42:40,315.183271610409,1,5.529079639727169,266.0642617625233,20.975719662308485,44.08078073336043,23.23713471697721,4,4,3,561,7,0.001851851851851852,23.229727309569803,0.44476865360566903,ELECTRE-III,1
8,0178,0,0,"[57.011773417204026, 16.400544367102484]","[np.float64(55.64321798038925), np.float64(12.16354832122793)]",2026-04-23 09:42:40,474.8222059876249,1,3.0877486831315393,302.2343245609621,23.532939695799357,43.77310461691345,35.735295192366664,2,2,2,748,4,0.001851851851851852,35.750110007181476,0.23634847853272198,ELECTRE-III,1
9,0016,1,0,"[56.42400831836775, 16.071972994437143]","[np.float64(55.55205209359613), np.float64(12.98404244187165)]",2026-04-23 09:42:50,315.183271610409,1,5.529079639727169,215.1239325348895,17.222225974286996,44.09223837569312,24.23713471697721,4,4,3,561,7,0.0019675925925925924,24.22139397623647,0.44476865360566903,ELECTRE-III,1
